,Title,Link,Name,Cat,Aut link,Plan,Budget,Date
1092,"Tuulepuu album ""Õdak tulõ vasta ööda""",https://www.hooandja.ee/projekt/tuulepuu-album-odak-tulo-vasta-ooda,Klaid Melnikov Muusika,Muusika,https://www.hooandja.ee/users/klaidmelnikov,113,900,2013
1091,Paku Hundiallika keskusele katust!,https://www.hooandja.ee/projekt/paku-hundiallika-keskusele-katust,Kaia-Kaire Hunt Kodanikualgatus,Kodanikualgatus,https://www.hooandja.ee/users/kaiakairehunt,111,3700,2013
1090,"August Künnapu maaliraamat ""Elujõgi""",https://www.hooandja.ee/projekt/august-kunnapu-maaliraamat-elujogi,August Künnapu Trükis,Trükis,https://www.hooandja.ee/users/augustkunnapu,101,7059,2013
1089,Räämas seinad kunsti alla,https://www.hooandja.ee/projekt/raamas-seinad-kunsti-alla-1,Ita Puusepp Kunst,Kunst,https://www.hooandja.ee/users/ita,105,1177,2013
1088,"Midride debüütalbum ""Meeste kutse""",https://www.hooandja.ee/projekt/midride-debuutalbum-meeste-kutse,Midrid Muusika,Muusika,https://www.hooandja.ee/users/midridele,133,2655,2013
1087,Eesti esimene rahvusvaheline improteatrite festival Tilt!,https://www.hooandja.ee/projekt/eesti-esimene-rahvusvaheline-improteatritie-festival-tilt,Improgrupp Jaa! Teater,Teater,https://www.hooandja.ee/users/info25,108,1673,2013
1086,Lasteraamat „Soolikarohu Eva ja Mägede Hugo“,https://www.hooandja.ee/projekt/lasteraamat-soolikarohu-eva-ja-magede-hugo,jarvajanne Trükis,Trükis,https://www.hooandja.ee/users/jarvajanne,101,2824,2013
1085,Projekt Allanism,https://www.hooandja.ee/projekt/projekt-allanism,Allan Eigi Trükis,Trükis,https://www.hooandja.ee/users/eigiallan,163,245,2013
1084,Lundy Bancrofti raamat „Miks ta seda teeb?...“ eestikeelne trükk,https://www.hooandja.ee/projekt/lundy-bancrofti-raamat-miks-ta-seda-teeb-eestikeelne-trukk,Pille Trükis,Trükis,https://www.hooandja.ee/users/pallamaali,107,1390,2013
1083,Marie Underi eluloo ja luule inglise keelde tõlkimine,https://www.hooandja.ee/projekt/marie-underi-eluloo-ja-luule-inglise-keelde-tolkimine,Sirje Kiin Trükis,Trükis,https://www.hooandja.ee/users/sirjekiin,108,5429,2013
1082,15 aastat õpilasdemokraatiat,https://www.hooandja.ee/projekt/eesti-opilasesinduste-liidu-sunnipaev,Lele Luup Sündmus,Sündmus,https://www.hooandja.ee/users/lele-luup,108,1144,2013
1081,Nele-Liis Vaiksoo sooloplaat,https://www.hooandja.ee/projekt/nele-liis-vaiksoo-sooloplaat,Nele-Liis Vaiksoo Muusika,Muusika,https://www.hooandja.ee/users/vaiksoo,123,4315,2013
1080,Ava uksed Herbert Hahni Kooli,https://www.hooandja.ee/projekt/ava-uksed-herbert-hahni-kooli,kristiina vunk Kodanikualgatus,Kodanikualgatus,https://www.hooandja.ee/users/kristiinavunk,113,3388,2013
